,0,,319,,,,,
,3.1485,15.1,-6.3,2.65,2.975714286,27.2,0,38
,3.6528,15.2,-15.5,2.5,2.687142857,41.8,0,40
,6.8228,20.1,-6.3,6.5,4.848571429,39.3,0.35,33
,9.2742,20.2,-2.3,9.65,2.194285714,25.3,0,37
,11.52,25,1.4,11.5,2.307142857,31.8,0.05,35
,12.215,22.2,1.7,12.55,4.238571429,52.6,0.55,21
,11.912,23.5,-0.5,12.3,4.625714286,35.3,0.35,32
,13.821,23.6,6,14.25,5.544285714,48.2,0.4,27
,15.691,20.5,10,16.35,5.237142857,33.5,1,21
,15.11,26,5.8,14.6,4.768571429,45.2,0.2,29
,16.891,23.5,6.3,17.35,4.181428571,47.6,0.2,26
,18.032,23.8,11.2,18.25,4.172857143,33.5,0.4,30
,19.192,25.3,9.4,19.4,4.014285714,55,0.5,27
,21.642,26.4,12.3,22.9,3.464285714,23.4,0.1,31
,22.271,26.9,14.3,22.45,7.085714286,51.2,2.7,13
,22.677,29,14.3,22.85,3.67,32.8,0.25,30
,24.5657,28.4,16.6,24.7,4.482857143,39.8,0.45,24
,24.2928,29.9,18.2,24.4,1.762857143,16.6,0,38
,25.2414,30.4,19.4,25.2,2.415714286,17.8,0.2,32
,25.6314,31.3,19.8,25.75,2.118571429,26,0,38
,26.2985,30.9,18.1,26.8,1.944285714,31.8,0,36
,27.58142857,30.6,22.6,27.95,1.294285714,14,0.05,35
,26.77857143,32.7,19.6,27,1.505714286,11.6,0.15,29
,26.23,31.6,20.1,26,3.697142857,37.9,0.4,18
,24.93,30,16.2,25.05,1.001428571,12.9,0,43
,24.43571429,32.5,16.4,24.9,2.94,45.2,0.1,30
,25.12571429,32.6,17.5,25.15,1.397142857,21.1,0,42
,21.97142857,30.5,11.6,21.85,3.151428571,40.4,0,37
,21.53714286,27.2,11.5,22.1,1.315714286,20.4,0,44
,18.79,27.8,9.7,18.35,3.6,60.7,0,45
,16.70571429,22.9,8.9,17.05,4.87,42.3,0,38
,17.40571429,24.5,8.3,17.4,2.298571429,28.2,0,46
,14.94285714,22.1,5.3,14.85,1.917142857,30.6,0,48
,14.61714286,21,7.5,14.65,3.175714286,34.1,0,36
,13.19,21.9,2.2,13.55,2.968571429,52,0,42
,10.91571429,21.4,2.8,10.45,3.154285714,40.4,0,40
,7.755714286,20.7,-5.2,7.9,1.7,26.1,0,46
,7.941428571,19.9,-4.3,7.45,1.654285714,17.9,0,44
,4.14,13,-4,4,1.905714286,25.8,0,50
,4.438571429,12.5,-3.3,4.55,1.524285714,28,0,53
,3.038571429,16.6,-5.8,1.8,2.255714286,37.6,0,46
,0.394285714,15.3,-12.5,-0.15,0.585714286,17.2,0,58
,1.795714286,12.5,-7.3,1.65,2.668571429,72.1,0,45
